accession	strategy
GB_GCA_016234655.1	rDsr
GB_GCA_016234705.1	rDsr
GB_GCA_016235045.1	rDsr
GB_GCA_016235165.1	rDsr
GB_GCA_016235745.1	soxCD
GB_GCA_016235775.1	rDsr
GB_GCA_016235805.1	rDsr
GB_GCA_016278285.1	soxCD
GB_GCA_016278325.1	soxCD
GB_GCA_016462905.1	soxCD
GB_GCA_016462955.1	others
GB_GCA_016463455.1	soxCD
GB_GCA_016521575.1	soxCD
GB_GCA_016617495.1	soxCD
GB_GCA_016699855.1	soxCD
GB_GCA_016702555.1	soxCD
GB_GCA_016702605.1	both
GB_GCA_016702655.1	rDsr
GB_GCA_016703145.1	soxCD
GB_GCA_016703325.1	both
GB_GCA_016703645.1	soxCD
GB_GCA_016703665.1	both
GB_GCA_016703785.1	rDsr
GB_GCA_016703945.1	both
GB_GCA_016704145.1	rDsr
GB_GCA_016704535.1	both
GB_GCA_016705065.1	rDsr
GB_GCA_016705475.1	soxCD
GB_GCA_016705575.1	both
GB_GCA_016706565.1	both
GB_GCA_016707445.1	both
GB_GCA_016708585.1	rDsr
GB_GCA_016708825.1	others
GB_GCA_016709385.1	rDsr
GB_GCA_016709495.1	soxCD
GB_GCA_016709665.1	both
GB_GCA_016709675.1	soxCD
GB_GCA_016709965.1	soxCD
GB_GCA_016710065.1	rDsr
GB_GCA_016710465.1	rDsr
GB_GCA_016710525.1	soxCD
GB_GCA_016711085.1	rDsr
GB_GCA_016711335.1	rDsr
GB_GCA_016712985.1	others
GB_GCA_016713005.1	soxCD
GB_GCA_016713125.1	soxCD
GB_GCA_016713135.1	soxCD
GB_GCA_016713305.1	others
GB_GCA_016714645.1	rDsr
GB_GCA_016714975.1	soxCD
GB_GCA_016716275.1	rDsr
GB_GCA_016716425.1	rDsr
GB_GCA_016716535.1	rDsr
GB_GCA_016716745.1	soxCD
GB_GCA_016716965.1	rDsr
GB_GCA_016717705.1	soxCD
GB_GCA_016717855.1	rDsr
GB_GCA_016718155.1	rDsr
GB_GCA_016718405.1	rDsr
GB_GCA_016718525.1	soxCD
GB_GCA_016718605.1	soxCD
GB_GCA_016719535.1	both
GB_GCA_016720855.1	rDsr
GB_GCA_016720925.1	rDsr
GB_GCA_016721015.1	soxCD
GB_GCA_016721465.1	both
GB_GCA_016721505.1	soxCD
GB_GCA_016721845.1	soxCD
GB_GCA_016721925.1	both
GB_GCA_016735685.1	soxCD
GB_GCA_016741995.1	soxCD
GB_GCA_016744015.1	rDsr
GB_GCA_016744115.1	others
GB_GCA_016744155.1	soxCD
GB_GCA_016744175.1	soxCD
GB_GCA_016744315.1	others
GB_GCA_016744435.1	others
GB_GCA_016744485.1	soxCD
GB_GCA_016744575.1	others
GB_GCA_016744795.1	soxCD
GB_GCA_016744895.1	others
GB_GCA_016745035.1	rDsr
GB_GCA_016763155.1	soxCD
GB_GCA_016763855.1	soxCD
GB_GCA_016764415.1	soxCD
GB_GCA_016764475.1	soxCD
GB_GCA_016764535.1	soxCD
GB_GCA_016765235.1	both
GB_GCA_016776525.1	rDsr
GB_GCA_016776605.1	others
GB_GCA_016776705.1	rDsr
GB_GCA_016776875.1	rDsr
GB_GCA_016778045.1	soxCD
GB_GCA_016778765.1	soxCD
GB_GCA_016778895.1	soxCD
GB_GCA_016779445.1	soxCD
GB_GCA_016784825.1	others
GB_GCA_016788525.1	others
GB_GCA_016789125.1	soxCD
GB_GCA_016789865.1	rDsr
GB_GCA_016789955.1	soxCD
GB_GCA_016790165.1	soxCD
GB_GCA_016790175.1	rDsr
GB_GCA_016790225.1	soxCD
GB_GCA_016790285.1	soxCD
GB_GCA_016790395.1	others
GB_GCA_016790425.1	soxCD
GB_GCA_016790575.1	soxCD
GB_GCA_016790625.1	soxCD
GB_GCA_016790635.1	soxCD
GB_GCA_016790695.1	soxCD
GB_GCA_016790705.1	soxCD
GB_GCA_016790765.1	soxCD
GB_GCA_016790815.1	soxCD
GB_GCA_016791045.1	soxCD
GB_GCA_016791065.1	soxCD
GB_GCA_016791105.1	soxCD
GB_GCA_016791115.1	rDsr
GB_GCA_016791145.1	others
GB_GCA_016791265.1	soxCD
GB_GCA_016792605.1	soxCD
GB_GCA_016792765.1	soxCD
GB_GCA_016793505.1	soxCD
GB_GCA_016793595.1	soxCD
GB_GCA_016793685.1	soxCD
GB_GCA_016793965.1	soxCD
GB_GCA_016794005.1	soxCD
GB_GCA_016794025.1	soxCD
GB_GCA_016806145.1	soxCD
GB_GCA_016839165.1	others
GB_GCA_016845145.1	rDsr
GB_GCA_016845445.1	soxCD
GB_GCA_016861105.1	soxCD
GB_GCA_016861185.1	both
GB_GCA_016865015.1	others
GB_GCA_016865035.1	soxCD
GB_GCA_016868035.1	rDsr
GB_GCA_016868095.1	soxCD
GB_GCA_016868105.1	others
GB_GCA_016868175.1	soxCD
GB_GCA_016868205.1	soxCD
GB_GCA_016868255.1	soxCD
GB_GCA_016868295.1	rDsr
GB_GCA_016868305.1	soxCD
GB_GCA_016868355.1	soxCD
GB_GCA_016868375.1	soxCD
GB_GCA_016869215.1	soxCD
GB_GCA_016869415.1	soxCD
GB_GCA_016869515.1	rDsr
GB_GCA_016869645.1	soxCD
GB_GCA_016869915.1	soxCD
GB_GCA_016869975.1	soxCD
GB_GCA_016870055.1	soxCD
GB_GCA_016872535.1	rDsr
GB_GCA_016874535.1	soxCD
GB_GCA_016926755.1	soxCD
GB_GCA_016931495.1	rDsr
GB_GCA_016936395.1	others
GB_GCA_016936875.1	soxCD
GB_GCA_016937725.1	soxCD
GB_GCA_016938175.1	others
GB_GCA_016938595.1	others
GB_GCA_016938735.1	others
GB_GCA_016938875.1	soxCD
GB_GCA_017255395.1	soxCD
GB_GCA_017302275.1	rDsr
GB_GCA_017302315.1	soxCD
GB_GCA_017302435.1	soxCD
GB_GCA_017302485.1	rDsr
GB_GCA_017302495.1	rDsr
GB_GCA_017302505.1	others
GB_GCA_017302635.1	soxCD
GB_GCA_017302655.1	soxCD
GB_GCA_017303295.1	soxCD
GB_GCA_017304475.1	soxCD
GB_GCA_017305455.1	soxCD
GB_GCA_017305515.1	soxCD
GB_GCA_017305535.1	soxCD
GB_GCA_017305555.1	soxCD
GB_GCA_017305595.1	soxCD
GB_GCA_017305665.1	soxCD
GB_GCA_017305715.1	soxCD
GB_GCA_017305915.1	others
GB_GCA_017307865.1	soxCD
GB_GCA_017308015.1	soxCD
GB_GCA_017308075.1	soxCD
GB_GCA_017308235.1	others
GB_GCA_017308495.1	soxCD
GB_GCA_017308575.1	soxCD
GB_GCA_017308595.1	soxCD
GB_GCA_017347485.1	rDsr
GB_GCA_017474385.1	soxCD
GB_GCA_017640505.1	soxCD
GB_GCA_017640685.1	soxCD
GB_GCA_017640745.1	soxCD
GB_GCA_017643215.1	soxCD
GB_GCA_017643845.1	others
GB_GCA_017643905.1	others
GB_GCA_017643925.1	soxCD
GB_GCA_017644105.1	soxCD
GB_GCA_017644185.1	soxCD
GB_GCA_017743935.1	soxCD
GB_GCA_017792405.1	soxCD
GB_GCA_017792425.1	both
GB_GCA_017792445.1	soxCD
GB_GCA_017792465.1	soxCD
GB_GCA_017848435.1	soxCD
GB_GCA_017848645.1	soxCD
GB_GCA_017848965.1	soxCD
GB_GCA_017849325.1	soxCD
GB_GCA_017849615.1	soxCD
GB_GCA_017852835.1	others
GB_GCA_017853245.1	rDsr
GB_GCA_017854535.1	soxCD
GB_GCA_017854565.1	soxCD
GB_GCA_017854585.1	soxCD
GB_GCA_017854675.1	soxCD
GB_GCA_017854855.1	soxCD
GB_GCA_017857825.1	others
GB_GCA_017857895.1	soxCD
GB_GCA_017880705.1	soxCD
GB_GCA_017880775.1	rDsr
GB_GCA_017880945.1	rDsr
GB_GCA_017880985.1	rDsr
GB_GCA_017881085.1	soxCD
GB_GCA_017983755.1	soxCD
GB_GCA_017983795.1	both
GB_GCA_017983955.1	soxCD
GB_GCA_017986605.1	soxCD
GB_GCA_017989135.1	soxCD
GB_GCA_017992055.1	soxCD
GB_GCA_017994835.1	both
GB_GCA_017995775.1	soxCD
GB_GCA_017997795.1	soxCD
GB_GCA_018054745.1	soxCD
GB_GCA_018061265.1	rDsr
GB_GCA_018063505.1	soxCD
GB_GCA_018063565.1	rDsr
GB_GCA_018067325.1	soxCD
GB_GCA_018069465.1	soxCD
GB_GCA_018069525.1	soxCD
GB_GCA_018222665.1	soxCD
GB_GCA_018223085.1	soxCD
GB_GCA_018240595.1	soxCD
GB_GCA_018240625.1	soxCD
GB_GCA_018240695.1	others
GB_GCA_018241745.1	soxCD
GB_GCA_018241765.1	soxCD
GB_GCA_018241895.1	rDsr
GB_GCA_018242205.1	soxCD
GB_GCA_018242215.1	others
GB_GCA_018242505.1	others
GB_GCA_018261935.1	rDsr
GB_GCA_018262195.1	soxCD
GB_GCA_018262775.1	rDsr
GB_GCA_018262875.1	others
GB_GCA_018263115.1	rDsr
GB_GCA_018333815.1	rDsr
GB_GCA_018335895.1	soxCD
GB_GCA_018336195.1	rDsr
GB_GCA_018384835.1	soxCD
GB_GCA_018401055.1	soxCD
GB_GCA_018401385.1	soxCD
GB_GCA_018401465.1	soxCD
GB_GCA_018401495.1	soxCD
GB_GCA_018401615.1	soxCD
GB_GCA_018402035.1	soxCD
GB_GCA_018402635.1	soxCD
GB_GCA_018435665.1	rDsr
GB_GCA_018500075.1	others
GB_GCA_018500105.1	soxCD
GB_GCA_018607685.1	soxCD
GB_GCA_018607725.1	soxCD
GB_GCA_018607835.1	others
GB_GCA_018607965.1	soxCD
GB_GCA_018607995.1	soxCD
GB_GCA_018645845.1	others
GB_GCA_018647275.1	soxCD
GB_GCA_018648825.1	rDsr
GB_GCA_018649725.1	rDsr
GB_GCA_018650465.1	rDsr
GB_GCA_018654745.1	rDsr
GB_GCA_018656865.1	soxCD
GB_GCA_018660465.1	rDsr
GB_GCA_018662005.1	rDsr
GB_GCA_018662405.1	others
GB_GCA_018665025.1	soxCD
GB_GCA_018665815.1	others
GB_GCA_018667205.1	others
GB_GCA_018671895.1	rDsr
GB_GCA_018672825.1	rDsr
GB_GCA_018698075.1	rDsr
GB_GCA_018698455.1	others
GB_GCA_018698795.1	rDsr
GB_GCA_018729455.1	soxCD
GB_GCA_018771605.1	others
GB_GCA_018780025.1	others
GB_GCA_018780075.1	soxCD
GB_GCA_018780105.1	others
GB_GCA_018780185.1	soxCD
GB_GCA_018780385.1	soxCD
GB_GCA_018780415.1	soxCD
GB_GCA_018780565.1	soxCD
GB_GCA_018780625.1	soxCD
GB_GCA_018780645.1	soxCD
GB_GCA_018780805.1	soxCD
GB_GCA_018781585.1	rDsr
GB_GCA_018812525.1	rDsr
GB_GCA_018812945.1	soxCD
GB_GCA_018813765.1	rDsr
GB_GCA_018814405.1	rDsr
GB_GCA_018815245.1	soxCD
GB_GCA_018815325.1	soxCD
GB_GCA_018819175.1	rDsr
GB_GCA_018819205.1	rDsr
GB_GCA_018819265.1	soxCD
GB_GCA_018819515.1	rDsr
GB_GCA_018820395.1	soxCD
GB_GCA_018820745.1	others
GB_GCA_018820765.1	rDsr
GB_GCA_018820925.1	rDsr
GB_GCA_018823025.1	others
GB_GCA_018823835.1	soxCD
GB_GCA_018824085.1	soxCD
GB_GCA_018824305.1	rDsr
GB_GCA_018824405.1	rDsr
GB_GCA_018825305.1	rDsr
GB_GCA_018825665.1	others
GB_GCA_018828385.1	soxCD
GB_GCA_018830445.1	rDsr
GB_GCA_018882785.1	soxCD
GB_GCA_018882795.1	soxCD
GB_GCA_018882835.1	soxCD
GB_GCA_018883265.1	soxCD
GB_GCA_018969885.1	soxCD
GB_GCA_018969975.1	soxCD
GB_GCA_018971105.1	both
GB_GCA_018971195.1	others
GB_GCA_018971625.1	others
GB_GCA_018971675.1	others
GB_GCA_018993155.1	soxCD
GB_GCA_019061145.1	soxCD
GB_GCA_019075865.1	soxCD
GB_GCA_019075905.1	others
GB_GCA_019084245.1	soxCD
GB_GCA_019090795.1	both
GB_GCA_019090885.1	soxCD
GB_GCA_019136545.1	rDsr
GB_GCA_019137045.1	rDsr
GB_GCA_019163035.1	others
GB_GCA_019187085.1	soxCD
GB_GCA_019232985.1	soxCD
GB_GCA_019234295.1	soxCD
GB_GCA_019236485.1	soxCD
GB_GCA_019236735.1	others
GB_GCA_019237595.1	others
GB_GCA_019237615.1	soxCD
GB_GCA_019242285.1	others
GB_GCA_019243075.1	others
GB_GCA_019244115.1	others
GB_GCA_019246455.1	soxCD
GB_GCA_019264445.1	soxCD
GB_GCA_019351955.1	soxCD
GB_GCA_019352115.1	soxCD
GB_GCA_019449455.1	rDsr
GB_GCA_019449555.1	both
GB_GCA_019454225.1	soxCD
GB_GCA_019459055.1	rDsr
GB_GCA_019459145.1	soxCD
GB_GCA_019459185.1	soxCD
GB_GCA_019509895.1	others
GB_GCA_019633985.1	others
GB_GCA_019634165.1	soxCD
GB_GCA_019634215.1	soxCD
GB_GCA_019634245.1	rDsr
GB_GCA_019634955.1	rDsr
GB_GCA_019635015.1	others
GB_GCA_019635275.1	rDsr
GB_GCA_019635315.1	both
GB_GCA_019635415.1	soxCD
GB_GCA_019635435.1	soxCD
GB_GCA_019635465.1	soxCD
GB_GCA_019635485.1	soxCD
GB_GCA_019635575.1	soxCD
GB_GCA_019635735.1	soxCD
GB_GCA_019689635.1	soxCD
GB_GCA_019689975.1	soxCD
GB_GCA_019695155.1	soxCD
GB_GCA_019744975.1	others
GB_GCA_019745195.1	soxCD
GB_GCA_019745555.1	soxCD
GB_GCA_019745575.1	soxCD
GB_GCA_019745775.1	soxCD
GB_GCA_019746135.1	soxCD
GB_GCA_019746735.1	others
GB_GCA_019747375.1	soxCD
GB_GCA_019747795.1	others
GB_GCA_019747815.1	soxCD
GB_GCA_019748335.1	soxCD
GB_GCA_019749835.1	soxCD
GB_GCA_019749945.1	soxCD
GB_GCA_019751125.1	soxCD
GB_GCA_019797865.1	soxCD
GB_GCA_019801415.1	soxCD
GB_GCA_019911765.1	rDsr
GB_GCA_019911785.1	rDsr
GB_GCA_019911805.1	rDsr
GB_GCA_019911965.1	rDsr
GB_GCA_019912385.1	rDsr
GB_GCA_020027345.1	soxCD
GB_GCA_020027635.1	rDsr
GB_GCA_020048055.1	soxCD
GB_GCA_020048435.1	rDsr
GB_GCA_020049415.1	others
GB_GCA_020055635.1	soxCD
GB_GCA_020055675.1	soxCD
GB_GCA_020057245.1	rDsr
GB_GCA_020059445.1	soxCD
GB_GCA_020061285.1	rDsr
GB_GCA_020161065.1	soxCD
GB_GCA_020161215.1	others
GB_GCA_020161475.1	soxCD
GB_GCA_020161575.1	soxCD
GB_GCA_020161615.1	soxCD
GB_GCA_020161695.1	soxCD
GB_GCA_020161775.1	soxCD
GB_GCA_020161975.1	others
GB_GCA_020201155.1	others
GB_GCA_020216925.1	rDsr
GB_GCA_020217035.1	rDsr
GB_GCA_020217265.1	rDsr
GB_GCA_020247545.1	soxCD
GB_GCA_020248665.1	soxCD
GB_GCA_020248785.1	soxCD
GB_GCA_020248865.1	soxCD
GB_GCA_020248905.1	soxCD
GB_GCA_020248915.1	soxCD
GB_GCA_020248945.1	soxCD
GB_GCA_020249045.1	soxCD
GB_GCA_020252485.1	soxCD
GB_GCA_020341735.1	soxCD
GB_GCA_020354085.1	others
GB_GCA_020354665.1	rDsr
GB_GCA_020356105.1	rDsr
GB_GCA_020425125.1	soxCD
GB_GCA_020441125.1	both
GB_GCA_020441205.1	others
GB_GCA_020441225.1	rDsr
GB_GCA_020441385.1	rDsr
GB_GCA_020441545.1	others
GB_GCA_020441735.1	others
GB_GCA_020441795.1	others
GB_GCA_020441995.1	soxCD
GB_GCA_020442275.1	both
GB_GCA_020445405.1	rDsr
GB_GCA_020445565.1	others
GB_GCA_020446285.1	soxCD
GB_GCA_020446745.1	rDsr
GB_GCA_020447005.1	soxCD
GB_GCA_020525365.1	others
GB_GCA_020544565.1	soxCD
GB_GCA_020621865.1	soxCD
GB_GCA_020621905.1	soxCD
GB_GCA_020627685.1	soxCD
GB_GCA_020628265.1	soxCD
GB_GCA_020637515.1	soxCD
GB_GCA_020637555.1	soxCD
GB_GCA_020637595.1	soxCD
GB_GCA_020637755.1	soxCD
GB_GCA_020637775.1	soxCD
GB_GCA_020637795.1	soxCD
GB_GCA_020637805.1	both
GB_GCA_020637855.1	soxCD
GB_GCA_020638195.1	both
GB_GCA_020693165.1	soxCD
GB_GCA_020697055.1	soxCD
GB_GCA_020697385.1	others
GB_GCA_020719775.1	soxCD
GB_GCA_020719895.1	others
GB_GCA_020720385.1	rDsr
GB_GCA_020721225.1	rDsr
GB_GCA_020721255.1	rDsr
GB_GCA_020721445.1	soxCD
GB_GCA_020721585.1	others
GB_GCA_020723185.1	rDsr
GB_GCA_020723855.1	rDsr
GB_GCA_020725025.1	rDsr
GB_GCA_020725195.1	rDsr
GB_GCA_020832555.1	soxCD
GB_GCA_020832585.1	soxCD
GB_GCA_020833645.1	others
GB_GCA_020847675.1	others
GB_GCA_020848075.1	rDsr
GB_GCA_020848435.1	others
GB_GCA_020849475.1	others
GB_GCA_020851255.1	others
GB_GCA_020851615.1	soxCD
GB_GCA_020852865.1	both
GB_GCA_020853025.1	rDsr
GB_GCA_021044545.1	soxCD
GB_GCA_021107755.1	soxCD
GB_GCA_021153985.1	soxCD
GB_GCA_021154985.1	soxCD
GB_GCA_021157485.1	others
GB_GCA_021163845.1	others
GB_GCA_021166755.1	others
GB_GCA_021166775.1	soxCD
GB_GCA_021166835.1	soxCD
GB_GCA_021208885.1	soxCD
GB_GCA_021286835.1	soxCD
GB_GCA_021286855.1	rDsr
GB_GCA_021287045.1	soxCD
GB_GCA_021297985.1	soxCD
GB_GCA_021298085.1	soxCD
GB_GCA_021299555.1	soxCD
GB_GCA_021299735.1	soxCD
GB_GCA_021299875.1	soxCD
GB_GCA_021300055.1	soxCD
GB_GCA_021300495.1	others
GB_GCA_021300575.1	soxCD
GB_GCA_021323335.1	both
GB_GCA_021323775.1	others
GB_GCA_021323795.1	others
GB_GCA_021372495.1	soxCD
GB_GCA_021373185.1	rDsr
GB_GCA_021375695.1	others
GB_GCA_021404545.1	soxCD
GB_GCA_021463505.1	rDsr
GB_GCA_021555045.1	soxCD
GB_GCA_021555075.1	both
GB_GCA_021555105.1	others
GB_GCA_021604645.1	soxCD
GB_GCA_021647505.1	rDsr
GB_GCA_021647745.1	rDsr
GB_GCA_021648025.1	both
GB_GCA_021648045.1	soxCD
GB_GCA_021648125.1	soxCD
GB_GCA_021648285.1	others
GB_GCA_021648485.1	others
GB_GCA_021730785.1	others
GB_GCA_021730905.1	others
GB_GCA_021731215.1	rDsr
GB_GCA_021731285.1	soxCD
GB_GCA_021731445.1	soxCD
GB_GCA_021732175.1	soxCD
GB_GCA_021732215.1	soxCD
GB_GCA_021732745.1	soxCD
GB_GCA_021732895.1	others
GB_GCA_021737865.1	both
GB_GCA_021737905.1	soxCD
GB_GCA_021738045.1	soxCD
GB_GCA_021738065.1	rDsr
GB_GCA_021738105.1	rDsr
GB_GCA_021738345.1	rDsr
GB_GCA_021738385.1	rDsr
GB_GCA_021741145.1	soxCD
GB_GCA_021741465.1	soxCD
GB_GCA_021766785.1	others
GB_GCA_021767845.1	soxCD
GB_GCA_021773055.1	both
GB_GCA_021773155.1	both
GB_GCA_021773435.1	soxCD
GB_GCA_021773555.1	others
GB_GCA_021773565.1	soxCD
GB_GCA_021774355.1	soxCD
GB_GCA_021775095.1	soxCD
GB_GCA_021775105.1	rDsr
GB_GCA_021775275.1	soxCD
GB_GCA_021775315.1	both
GB_GCA_021775355.1	soxCD
GB_GCA_021775375.1	soxCD
GB_GCA_021775385.1	soxCD
GB_GCA_021775425.1	others
GB_GCA_021775475.1	soxCD
GB_GCA_021775495.1	soxCD
GB_GCA_021775525.1	soxCD
GB_GCA_021775575.1	rDsr
GB_GCA_021775805.1	soxCD
GB_GCA_021775835.1	soxCD
GB_GCA_021776055.1	soxCD
GB_GCA_021776095.1	soxCD
GB_GCA_021776115.1	soxCD
GB_GCA_021776145.1	soxCD
GB_GCA_021776235.1	soxCD
GB_GCA_021777915.1	rDsr
GB_GCA_021779835.1	others
GB_GCA_021780975.1	rDsr
GB_GCA_021781575.1	rDsr
GB_GCA_021783175.1	rDsr
GB_GCA_021783435.1	soxCD
GB_GCA_021783455.1	others
GB_GCA_021783695.1	soxCD
GB_GCA_021783995.1	rDsr
GB_GCA_021784115.1	others
GB_GCA_021784125.1	rDsr
GB_GCA_021787175.1	others
GB_GCA_021787435.1	rDsr
GB_GCA_021788645.1	rDsr
GB_GCA_021789215.1	others
GB_GCA_021789735.1	others
GB_GCA_021789935.1	others
GB_GCA_021791055.1	others
GB_GCA_021792335.1	others
GB_GCA_021793155.1	rDsr
GB_GCA_021794335.1	others
GB_GCA_021795395.1	others
GB_GCA_021798395.1	soxCD
GB_GCA_021801705.1	rDsr
GB_GCA_021802545.1	rDsr
GB_GCA_021802555.1	rDsr
GB_GCA_021802655.1	rDsr
GB_GCA_021802945.1	rDsr
GB_GCA_021804595.1	soxCD
GB_GCA_021804825.1	others
GB_GCA_021805805.1	soxCD
GB_GCA_021805825.1	soxCD
GB_GCA_021807785.1	others
GB_GCA_021808315.1	soxCD
GB_GCA_021808445.1	soxCD
GB_GCA_021811085.1	rDsr
GB_GCA_021811205.1	others
GB_GCA_021811225.1	rDsr
GB_GCA_021811235.1	rDsr
GB_GCA_021812385.1	rDsr
GB_GCA_021813275.1	others
GB_GCA_021813595.1	others
GB_GCA_021813645.1	others
GB_GCA_021813805.1	rDsr
GB_GCA_021814605.1	soxCD
GB_GCA_021815805.1	soxCD
GB_GCA_021816585.1	soxCD
GB_GCA_021816925.1	others
GB_GCA_021817985.1	rDsr
GB_GCA_021818065.1	soxCD
GB_GCA_021819085.1	rDsr
GB_GCA_021819985.1	others
GB_GCA_021820845.1	rDsr
GB_GCA_021821945.1	rDsr
GB_GCA_021822485.1	others
GB_GCA_021825225.1	rDsr
GB_GCA_021825505.1	soxCD
GB_GCA_021825785.1	others
GB_GCA_021827145.1	others
GB_GCA_021828605.1	soxCD
GB_GCA_021830925.1	soxCD
GB_GCA_021831025.1	others
GB_GCA_021840255.1	others
GB_GCA_021841865.1	soxCD
GB_GCA_021845505.1	soxCD
GB_GCA_021845685.1	others
GB_GCA_021845865.1	rDsr
GB_GCA_021845885.1	rDsr
GB_GCA_021845965.1	rDsr
GB_GCA_021846025.1	soxCD
GB_GCA_021846965.1	soxCD
GB_GCA_021847015.1	rDsr
GB_GCA_021847175.1	others
GB_GCA_021847305.1	others
GB_GCA_021847345.1	soxCD
GB_GCA_021847835.1	rDsr
GB_GCA_021848325.1	rDsr
GB_GCA_021848345.1	soxCD
GB_GCA_021848545.1	rDsr
GB_GCA_021848725.1	rDsr
GB_GCA_021848825.1	rDsr
GB_GCA_021849425.1	soxCD
GB_GCA_021849505.1	rDsr
GB_GCA_021849595.1	others
GB_GCA_021851345.1	rDsr
GB_GCA_021851875.1	others
GB_GCA_022041995.1	soxCD
GB_GCA_022340185.1	others
GB_GCA_022340245.1	rDsr
GB_GCA_022340285.1	others
GB_GCA_022340315.1	soxCD
GB_GCA_022340345.1	rDsr
GB_GCA_022340385.1	soxCD
GB_GCA_022340615.1	rDsr
GB_GCA_022340705.1	rDsr
GB_GCA_022340825.1	rDsr
GB_GCA_022360595.1	rDsr
GB_GCA_022360615.1	others
GB_GCA_022360775.1	soxCD
GB_GCA_022425445.1	soxCD
GB_GCA_022425845.1	soxCD
GB_GCA_022447275.1	soxCD
GB_GCA_022448925.1	soxCD
GB_GCA_022451485.1	rDsr
GB_GCA_022563505.1	soxCD
GB_GCA_022564115.1	others
GB_GCA_022567775.1	soxCD
GB_GCA_022572685.1	rDsr
GB_GCA_022600345.1	soxCD
GB_GCA_022627515.1	rDsr
GB_GCA_022631215.1	others
GB_GCA_022712755.1	rDsr
GB_GCA_022729835.1	others
GB_GCA_022730375.1	soxCD
GB_GCA_022736605.1	others
GB_GCA_022758925.1	others
GB_GCA_022760435.1	soxCD
GB_GCA_022763245.1	soxCD
GB_GCA_022763305.1	soxCD
GB_GCA_022763485.1	soxCD
GB_GCA_022819985.1	others
GB_GCA_022822625.1	rDsr
GB_GCA_022822665.1	soxCD
GB_GCA_022823405.1	others
GB_GCA_022823625.1	others
GB_GCA_022824145.1	soxCD
GB_GCA_022824525.1	soxCD
GB_GCA_022824665.1	others
GB_GCA_022824965.1	rDsr
GB_GCA_022826305.1	others
GB_GCA_022826385.1	soxCD
GB_GCA_022841325.1	soxCD
GB_GCA_022841625.1	soxCD
GB_GCA_022841665.1	soxCD
GB_GCA_022841885.1	soxCD
GB_GCA_022842305.1	both
GB_GCA_022842325.1	rDsr
GB_GCA_022842595.1	soxCD
GB_GCA_022842825.1	rDsr
GB_GCA_022843145.1	rDsr
GB_GCA_022843165.1	soxCD
GB_GCA_022843705.1	others
GB_GCA_022843905.1	soxCD
GB_GCA_022843925.1	others
GB_GCA_022843945.1	others
GB_GCA_022843955.1	soxCD
GB_GCA_022843985.1	soxCD
GB_GCA_022844045.1	soxCD
GB_GCA_022844205.1	soxCD
GB_GCA_022844225.1	soxCD
GB_GCA_022844385.1	soxCD
GB_GCA_022844465.1	soxCD
GB_GCA_022844485.1	soxCD
GB_GCA_022844525.1	rDsr
GB_GCA_022844545.1	rDsr
GB_GCA_023134935.1	soxCD
GB_GCA_023145215.1	soxCD
GB_GCA_023150065.1	soxCD
GB_GCA_023150195.1	soxCD
GB_GCA_023150375.1	soxCD
GB_GCA_023150455.1	soxCD
GB_GCA_023228705.1	soxCD
GB_GCA_023228785.1	others
GB_GCA_023229025.1	others
GB_GCA_023229105.1	others
GB_GCA_023229685.1	rDsr
GB_GCA_023229695.1	others
GB_GCA_023229845.1	rDsr
GB_GCA_023230755.1	soxCD
GB_GCA_023248415.1	rDsr
GB_GCA_023248995.1	others
GB_GCA_023249095.1	others
GB_GCA_023250475.1	others
GB_GCA_023253715.1	soxCD
GB_GCA_023254115.1	soxCD
GB_GCA_023254495.1	soxCD
GB_GCA_023255355.1	others
GB_GCA_023255415.1	soxCD
GB_GCA_023255445.1	soxCD
GB_GCA_023255715.1	others
GB_GCA_023255755.1	others
GB_GCA_023255875.1	others
GB_GCA_023256195.1	others
GB_GCA_023258775.1	soxCD
GB_GCA_023259175.1	soxCD
GB_GCA_023259355.1	soxCD
GB_GCA_023260315.1	soxCD
GB_GCA_023260655.1	soxCD
GB_GCA_023260835.1	others
GB_GCA_023260935.1	soxCD
GB_GCA_023261135.1	soxCD
GB_GCA_023263105.1	soxCD
GB_GCA_023263735.1	others
GB_GCA_023263855.1	soxCD
GB_GCA_023266195.1	rDsr
GB_GCA_023266235.1	rDsr
GB_GCA_023266245.1	others
GB_GCA_023266455.1	others
GB_GCA_023266845.1	others
GB_GCA_023268955.1	soxCD
GB_GCA_023269635.1	rDsr
GB_GCA_023379705.1	others
GB_GCA_023382135.1	others
GB_GCA_023383035.1	others
GB_GCA_023383795.1	others
GB_GCA_023384005.1	rDsr
GB_GCA_023386635.1	soxCD
GB_GCA_023386885.1	soxCD
GB_GCA_023387335.1	soxCD
GB_GCA_023387555.1	soxCD
GB_GCA_023387695.1	others
GB_GCA_023387735.1	soxCD
GB_GCA_023387775.1	others
GB_GCA_023388935.1	others
GB_GCA_023389055.1	soxCD
GB_GCA_023389175.1	soxCD
GB_GCA_023389425.1	soxCD
GB_GCA_023390705.1	others
GB_GCA_023390955.1	others
GB_GCA_023390985.1	others
GB_GCA_023391175.1	soxCD
GB_GCA_023392035.1	soxCD
GB_GCA_023392135.1	soxCD
GB_GCA_023392205.1	soxCD
GB_GCA_023396625.1	soxCD
GB_GCA_023404705.1	soxCD
GB_GCA_023416965.1	soxCD
